Tahun ,Bulan ,"Volume Sampah
(Ton)","Jumlah Penduduk
(Jiwa) (Tahun)","Kepadatan Penduduk 
(Jiwa/km2) (Tahun)","Jumlah Rumah Tangga
(Jumlah KK)","Jumlah Rumah Makan 
(Buah)","Tingkat Hunian Hotel
(%)","Jumlah Wisatawan
 (Daya Tarik) (Jiwa)","Curah Hujan 
(mm)","Jumlah Hari 
Besar (Hari)"
2016,Januari,8393.73,514171,11674.93,180027,134,38.37,2197775,72,1
,Februari,8699.22,514171,11674.93,180027,134,40.88,2197775,164,1
,Maret,9178.07,514171,11674.93,180027,134,43.95,2197775,143,3
,April ,8680.27,514171,11674.93,180027,134,45.36,2197775,52,0
,Mei ,9336.46,514171,11674.93,180027,134,50.88,2197775,104,4
,Juni ,9164.74,514171,11674.93,180027,134,38.82,2197775,123,0
,Juli ,9082.43,514171,11674.93,180027,134,53.05,2197775,113,5
,Agustus,9260.58,514171,11674.93,180027,134,53.22,2197775,21,1
,September,8871.44,514171,11674.93,180027,134,49.01,2197775,79,1
,Oktober,9555.47,514171,11674.93,180027,134,47.8,2197775,77,2
,November,9409.41,514171,11674.93,180027,134,45.98,2197775,148,0
,Desember ,9650.89,514171,11674.93,180027,134,56.77,2197775,91,5
2017,Januari,9619.05,516102,11718.65,184547,678,39.38,232.249,13.60,2
,Februari,8913.03,516102,11718.65,184547,678,41.92,199.996,19.90,0
,Maret,9646.49,516102,11718.65,184547,678,46.24,221.351,7.80,1
,April ,8762.76,516102,11718.65,184547,678,51.49,240.749,9.80,3
,Mei ,9216.57,516102,11718.65,184547,678,49.1,250.5,1.00,3
,Juni ,8514.12,516102,11718.65,184547,678,46.1,260.191,4.40,3
,Juli ,8397.59,516102,11718.65,178175,678,52.19,282.942,0.00,0
,Agustus,7947.26,516102,11718.65,178175,678,51.1,242.696,4.70,1
,September,7579.1,516102,11718.65,178175,678,48.07,250.94,2.60,2
,Oktober,8683.12,516102,11718.65,178175,678,46.61,286.039,3.20,1
,November,9303.01,516102,11718.65,178175,678,55.95,259.838,12.80,0
,Desember ,9696.76,516102,11718.65,178175,678,61.35,336.84,5.30,3
2018,Januari,10257,517887,11759.31,177105,778,42.65,230.931,13.6,1
,Februari,9617,517887,11759.31,177105,778,45.5,207.66,19.9,1
,Maret,10177,517887,11759.31,177105,778,42.49,216.354,7.8,2
,April ,9529,517887,11759.31,177105,778,45.5,234.73,9.8,2
,Mei ,9201,517887,11759.31,177105,778,40.99,224.939,1,3
,Juni ,8620,517887,11759.31,177105,778,44.75,336.415,4.4,11
,Juli ,8667,517887,11759.31,183544,778,48.48,259.855,0,0
,Agustus,8881,517887,11759.31,183544,778,45.42,259.59,4.7,2
,September,8729,517887,11759.31,183544,778,46.89,273.921,2.6,1
,Oktober,9171,517887,11759.31,183544,778,48.43,276.257,3.2,0
,November,9311,517887,11759.31,183544,778,49.54,275.833,12.8,2
,Desember ,9677,517887,11759.31,183544,778,54.26,466.17,5.3,3
2019,Januari,10541.02,519587,11798,185055,693,44.06,260.372,573.9,1
,Februari,9587.45,519587,11798,185055,693,47.37,239.22,334.8,1
,Maret,10451.47,519587,11798,185055,693,49.25,248.822,360.5,1
,April ,9431.6,519587,11798,185055,693,51.95,268.625,172.6,4
,Mei ,9328.7,519587,11798,185055,693,36.49,204.706,36,3
